Bedrooms,Number of people,House area (sq yards),is_AC ,is_TV ,Number of Fans,is_energy-efficient appliances ,is_renewable energy sources,washing machine usage ,Number of electronic devices,Electricity bill
4,6,240,Yes,Yes,11,Yes,No,About 5 to 10 times,More than 5,38000
9,11,240,Yes,Yes,9,No,No,About 5 to 10 times,More than 5,80000
4,4,120,Yes,Yes,6,Yes,No,More than 10 times,More than 5,39000
3,7,160,No,Yes,5,Yes,No,Less than 5 times,Less than 5,20000
5,6,120,Yes,Yes,7,No,No,Less than 5 times,More than 5,38000
3,5,5,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,65000
4,5,500,Yes,Yes,8,Yes,No,About 5 to 10 times,More than 5,35000
3,3,952.87,No,No,4,Yes,No,About 5 to 10 times,More than 5,17000
3,5,700,Yes,No,5,Yes,Yes,Less than 5 times,Less than 5,2000
7,12,400,Yes,Yes,11,Yes,Yes,More than 10 times,More than 5,50000
4,5,120,No,Yes,5,No,No,I do not have a washing machine,Less than 5,12000
2,6,120,No,No,3,Yes,No,Less than 5 times,Less than 5,8337
3,6,120,No,No,3,Yes,No,Less than 5 times,Less than 5,8000
2,6,120,No,No,3,Yes,No,Less than 5 times,Less than 5,7567
3,6,250,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,37000
2,5,240,No,Yes,4,Yes,No,Less than 5 times,Less than 5,10000
1,3,80,No,No,1,Yes,No,Less than 5 times,Less than 5,5000
3,4,140,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,80000
3,6,120,Yes,Yes,4,Yes,No,About 5 to 10 times,More than 5,8000
2,4,80,Yes,Yes,3,Yes,No,Less than 5 times,None,10000
2,6,237,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,40000
3,4,120,No,Yes,5,Yes,No,Less than 5 times,More than 5,25000
8,5,240,Yes,Yes,14,Yes,Yes,More than 10 times,More than 5,65000
2,5,110,Yes,Yes,5,Yes,No,About 5 to 10 times,More than 5,12000
4,5,240,Yes,Yes,8,Yes,No,Less than 5 times,More than 5,39000
1,6,120,Yes,Yes,3,Yes,No,Less than 5 times,Less than 5,12000
4,7,200,No,No,7,Yes,No,More than 10 times,More than 5,18000
4,5,400,Yes,Yes,11,Yes,Yes,More than 10 times,More than 5,508
3,5,120,Yes,Yes,9,Yes,No,About 5 to 10 times,Less than 5,50000
3,5,120,No,No,4,Yes,No,Less than 5 times,None,4000
4,10,530,Yes,Yes,9,Yes,No,More than 10 times,More than 5,70000
3,5,200,Yes,Yes,7,Yes,No,About 5 to 10 times,More than 5,15000
3,5,120,Yes,Yes,7,Yes,No,More than 10 times,Less than 5,19200
6,11,400,Yes,Yes,11,Yes,No,More than 10 times,More than 5,48000
3,6,240,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,50000
3,5,120,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,30000
6,11,400,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,50000
2,4,120,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,16000
6,11,400,Yes,Yes,12,Yes,No,More than 10 times,More than 5,45000
5,5,300,Yes,Yes,9,Yes,No,Less than 5 times,More than 5,32000
4,9,300,Yes,Yes,9,Yes,No,More than 10 times,More than 5,31000
6,15,400,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,48000
4,5,120,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,27000
4,6,200,Yes,Yes,7,No,No,More than 10 times,More than 5,250000
4,5,240,Yes,Yes,8,Yes,Yes,More than 10 times,More than 5,27000
3,5,250,Yes,Yes,5,Yes,No,I do not have a washing machine,More than 5,26000
2,3,600,Yes,Yes,2,Yes,No,About 5 to 10 times,Less than 5,7000
5,9,120,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,40000
3,5,190,Yes,No,7,Yes,No,More than 10 times,More than 5,28140
7,13,120,No,Yes,8,Yes,No,About 5 to 10 times,More than 5,20001
4,5,240,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,20000
3,6,120,No,No,4,Yes,Yes,Less than 5 times,Less than 5,3000
2,5,120,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,8200
3,4,120,Yes,Yes,6,Yes,No,More than 10 times,More than 5,20005
6,8,180,No,Yes,6,Yes,No,Less than 5 times,More than 5,12000
3,7,120,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,18000
4,8,400,No,No,5,Yes,No,About 5 to 10 times,More than 5,4400
2,4,160,Yes,No,4,Yes,No,I do not have a washing machine,More than 5,40040
3,5,150,Yes,No,4,Yes,No,More than 10 times,Less than 5,10000
5,8,250,Yes,Yes,8,Yes,Yes,More than 10 times,More than 5,280000
4,6,230,No,Yes,5,Yes,No,Less than 5 times,More than 5,60000
2,4,120,Yes,No,3,Yes,No,I do not have a washing machine,More than 5,8020
2,8,60,No,No,3,Yes,Yes,About 5 to 10 times,Less than 5,4000
5,6,200,No,Yes,7,Yes,No,More than 10 times,More than 5,8900
3,4,120,No,Yes,5,Yes,No,About 5 to 10 times,More than 5,18040
4,6,260,Yes,Yes,5,Yes,Yes,Less than 5 times,Less than 5,1500
3,5,700,Yes,Yes,6,Yes,No,About 5 to 10 times,None,28000
2,3,150,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,33678
3,5,150,Yes,Yes,5,Yes,No,I do not have a washing machine,More than 5,18003
7,15,120,Yes,Yes,14,Yes,No,About 5 to 10 times,More than 5,17000
4,5,180,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,18500
2,4,120,No,No,4,Yes,No,Less than 5 times,Less than 5,11000
2,4,200,Yes,Yes,4,No,No,More than 10 times,More than 5,52000
2,3,110,Yes,Yes,5,Yes,No,Less than 5 times,More than 5,9003
3,5,280,No,Yes,4,Yes,No,Less than 5 times,Less than 5,2000
2,3,110,No,No,2,No,No,I do not have a washing machine,Less than 5,902
3,8,240,Yes,Yes,7,Yes,No,Less than 5 times,More than 5,31000
2,4,120,Yes,No,5,Yes,No,Less than 5 times,More than 5,27000
6,5,500,Yes,No,10,Yes,No,About 5 to 10 times,Less than 5,14004
4,4,120,Yes,Yes,8,Yes,No,Less than 5 times,More than 5,15000
2,4,120,Yes,Yes,9,Yes,Yes,About 5 to 10 times,Less than 5,35005
3,7,180,Yes,Yes,7,Yes,No,About 5 to 10 times,More than 5,15000
1,1,60,No,No,1,Yes,No,I do not have a washing machine,None,400
3,4,1600,Yes,Yes,6,Yes,No,I do not have a washing machine,Less than 5,25030
2,4,240,No,Yes,4,Yes,No,About 5 to 10 times,More than 5,10001
5,8,500,Yes,Yes,17,Yes,No,Less than 5 times,More than 5,115020
3,6,300,Yes,Yes,6,Yes,No,More than 10 times,More than 5,38030
3,6,300,No,Yes,9,Yes,No,Less than 5 times,More than 5,20070
2,4,350,Yes,Yes,5,Yes,No,I do not have a washing machine,More than 5,61060
3,5,1200,Yes,Yes,6,Yes,No,I do not have a washing machine,None,8070
4,6,1900,Yes,Yes,8,Yes,No,More than 10 times,More than 5,60009
4,6,336,Yes,No,5,Yes,Yes,More than 10 times,More than 5,15000
3,5,120,Yes,No,5,Yes,No,Less than 5 times,Less than 5,10000
3,5,400,Yes,No,8,Yes,No,More than 10 times,More than 5,23000
3,5,150,Yes,Yes,5,Yes,No,Less than 5 times,More than 5,20000
2,4,80,No,Yes,4,Yes,No,Less than 5 times,Less than 5,8000
3,6,250,Yes,Yes,6,Yes,No,More than 10 times,More than 5,50005
3,6,80,No,Yes,3,No,No,Less than 5 times,Less than 5,15000
5,7,120,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,2220
3,3,60,Yes,No,4,No,No,Less than 5 times,More than 5,9000
3,5,240,Yes,Yes,11,No,No,Less than 5 times,More than 5,38001
6,7,240,Yes,Yes,8,Yes,No,Less than 5 times,Less than 5,28004
3,3,200,Yes,Yes,7,Yes,No,I do not have a washing machine,More than 5,38020
2,5,400,Yes,Yes,5,Yes,No,More than 10 times,More than 5,36700
3,4,180,No,No,8,Yes,No,Less than 5 times,More than 5,5000
3,5,200,Yes,Yes,7,Yes,No,Less than 5 times,Less than 5,13000
3,3,250,Yes,No,7,Yes,No,I do not have a washing machine,More than 5,20000
1,3,65,Yes,Yes,2,Yes,No,Less than 5 times,Less than 5,3726
2,4,70,Yes,Yes,4,Yes,No,More than 10 times,Less than 5,27000
3,7,214,Yes,Yes,7,Yes,No,Less than 5 times,More than 5,16500
2,6,100,No,Yes,4,No,No,About 5 to 10 times,More than 5,6000
4,6,999,Yes,Yes,9,Yes,No,Less than 5 times,More than 5,21000
3,6,1400,Yes,Yes,7,Yes,No,About 5 to 10 times,More than 5,65000
4,9,237.69,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,85000
2,6,60,No,Yes,2,Yes,No,Less than 5 times,Less than 5,80000
5,6,1000,Yes,No,6,Yes,No,About 5 to 10 times,More than 5,70000
3,5,120,Yes,Yes,5,Yes,No,About 5 to 10 times,More than 5,42000
5,12,300,Yes,Yes,7,Yes,No,About 5 to 10 times,More than 5,20000
3,4,240,Yes,Yes,7,Yes,No,More than 10 times,More than 5,40000
3,4,812,No,Yes,5,Yes,No,Less than 5 times,Less than 5,10000
3,5,120,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,12000
4,5,120,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,15000
5,7,400,No,Yes,7,No,No,About 5 to 10 times,Less than 5,22000
3,5,200,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,18000
3,5,150,No,No,3,Yes,Yes,Less than 5 times,Less than 5,3500
3,8,180,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,6000
7,10,700,Yes,Yes,15,Yes,No,About 5 to 10 times,More than 5,90000
3,3,120,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,13000
2,2,120,Yes,Yes,3,Yes,No,Less than 5 times,Less than 5,3000
3,6,180,No,Yes,5,Yes,No,About 5 to 10 times,More than 5,10000
4,13,1500,Yes,Yes,6,Yes,No,About 5 to 10 times,Less than 5,48000
3,5,120,Yes,Yes,5,Yes,Yes,About 5 to 10 times,More than 5,15000
2,5,160,Yes,Yes,6,Yes,Yes,About 5 to 10 times,More than 5,20000
3,5,200,Yes,No,9,Yes,No,About 5 to 10 times,More than 5,9000
2,4,100,Yes,No,3,Yes,No,Less than 5 times,More than 5,9000
3,5,200,Yes,Yes,7,Yes,No,More than 10 times,More than 5,8000
3,5,130,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,27000
5,7,200,Yes,Yes,8,Yes,No,I do not have a washing machine,More than 5,15000
2,6,120,Yes,Yes,5,Yes,No,Less than 5 times,More than 5,17000
2,6,80,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,20700
3,6,250,Yes,Yes,7,Yes,Yes,About 5 to 10 times,More than 5,35000
2,3,70,Yes,Yes,4,No,No,I do not have a washing machine,Less than 5,9500
5,7,240,Yes,Yes,10,No,No,Less than 5 times,More than 5,45000
2,5,90,Yes,Yes,3,Yes,No,Less than 5 times,More than 5,9000
1,5,60,Yes,No,3,Yes,No,Less than 5 times,Less than 5,5000
3,6,120,No,No,6,Yes,No,About 5 to 10 times,More than 5,8000
2,4,120,No,Yes,3,Yes,No,Less than 5 times,Less than 5,8000
3,6,120,No,Yes,4,Yes,No,Less than 5 times,Less than 5,13000
2,5,100,Yes,No,1,Yes,No,Less than 5 times,Less than 5,26000
10,8,490,Yes,Yes,10,Yes,No,About 5 to 10 times,More than 5,45000
2,4,120,No,Yes,5,Yes,Yes,Less than 5 times,Less than 5,8000
5,5,140,No,Yes,6,Yes,No,Less than 5 times,Less than 5,9000
2,2,90,Yes,Yes,3,No,No,I do not have a washing machine,Less than 5,13450
4,9,20,Yes,Yes,5,Yes,No,About 5 to 10 times,More than 5,15000
3,5,120,No,No,5,No,No,Less than 5 times,None,11800
6,5,1000,Yes,Yes,10,Yes,No,About 5 to 10 times,More than 5,15000
3,6,605,Yes,Yes,9,Yes,No,Less than 5 times,Less than 5,29000
3,5,120,Yes,Yes,7,Yes,No,Less than 5 times,More than 5,8000
3,5,120,Yes,No,5,Yes,No,Less than 5 times,More than 5,19000
3,4,100,Yes,Yes,5,Yes,No,Less than 5 times,More than 5,20000
4,6,150,Yes,No,5,Yes,No,About 5 to 10 times,More than 5,2000
3,5,120,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,25000
5,5,140,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,16000
3,6,220,Yes,Yes,4,Yes,Yes,Less than 5 times,Less than 5,4500
3,6,600,Yes,Yes,10,Yes,No,More than 10 times,More than 5,62000
2,4,120,Yes,Yes,4,Yes,No,I do not have a washing machine,More than 5,20000
4,6,400,Yes,No,6,Yes,No,Less than 5 times,More than 5,20086
3,5,150,Yes,Yes,5,Yes,Yes,I do not have a washing machine,Less than 5,15000
2,3,120,Yes,Yes,4,Yes,Yes,Less than 5 times,Less than 5,12000
2,2,80,No,Yes,3,Yes,No,I do not have a washing machine,Less than 5,12000
2,5,120,Yes,Yes,5,Yes,No,Less than 5 times,More than 5,30000
2,6,200,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,60000
3,5,400,Yes,Yes,9,Yes,No,I do not have a washing machine,More than 5,28030
2,4,500,Yes,Yes,19,Yes,No,More than 10 times,More than 5,45000
7,12,1000,Yes,Yes,20,Yes,Yes,More than 10 times,More than 5,88000
3,4,150,Yes,Yes,5,Yes,No,More than 10 times,More than 5,13000
9,5,400,Yes,Yes,8,Yes,Yes,More than 10 times,More than 5,100004
18,4,1000,Yes,Yes,12,Yes,Yes,More than 10 times,More than 5,256799
4,8,120,Yes,Yes,10,Yes,No,About 5 to 10 times,More than 5,41000
5,5,605,Yes,Yes,11,Yes,No,More than 10 times,More than 5,70400
5,6,500,Yes,Yes,11,Yes,No,I do not have a washing machine,More than 5,30000
6,7,275,Yes,Yes,18,Yes,No,Less than 5 times,None,40000
4,6,150,Yes,Yes,8,Yes,Yes,More than 10 times,More than 5,1500
3,5,200,Yes,Yes,6,Yes,No,More than 10 times,More than 5,25000
2,5,80,Yes,Yes,3,Yes,No,About 5 to 10 times,Less than 5,19000
5,5,340,No,No,9,Yes,No,About 5 to 10 times,Less than 5,30000
2,4,180,No,Yes,3,Yes,No,I do not have a washing machine,Less than 5,9000
5,7,280,Yes,Yes,9,Yes,No,I do not have a washing machine,More than 5,13000
3,2,120,No,No,5,No,No,About 5 to 10 times,Less than 5,22000
6,6,300,Yes,Yes,11,No,No,About 5 to 10 times,More than 5,41000
4,6,240,Yes,Yes,11,Yes,No,About 5 to 10 times,More than 5,38000
9,11,240,Yes,Yes,9,No,No,About 5 to 10 times,More than 5,80000
4,4,120,Yes,Yes,6,Yes,No,More than 10 times,More than 5,39000
3,7,160,No,Yes,5,Yes,No,Less than 5 times,Less than 5,20000
5,6,120,Yes,Yes,7,No,No,Less than 5 times,More than 5,38000
3,5,5,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,65000
4,5,500,Yes,Yes,8,Yes,No,About 5 to 10 times,More than 5,35000
3,3,952.87,No,No,4,Yes,No,About 5 to 10 times,More than 5,17000
3,5,700,Yes,No,5,Yes,Yes,Less than 5 times,Less than 5,2000
7,12,400,Yes,Yes,11,Yes,Yes,More than 10 times,More than 5,50000
4,5,120,No,Yes,5,No,No,I do not have a washing machine,Less than 5,12000
2,6,120,No,No,3,Yes,No,Less than 5 times,Less than 5,8004
2,6,160,No,No,3,Yes,No,Less than 5 times,Less than 5,6837
4,6,120,No,No,3,Yes,No,Less than 5 times,Less than 5,8317
3,6,250,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,37040
2,5,240,No,Yes,4,Yes,No,Less than 5 times,Less than 5,10500
1,3,80,No,No,1,Yes,No,Less than 5 times,Less than 5,5000
3,4,140,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,80008
3,6,120,Yes,Yes,4,Yes,No,About 5 to 10 times,More than 5,8010
2,4,80,Yes,Yes,3,Yes,No,Less than 5 times,None,10020
2,6,237,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,44000
3,4,120,No,Yes,5,Yes,No,Less than 5 times,More than 5,25000
8,5,240,Yes,Yes,14,Yes,Yes,More than 10 times,More than 5,65400
2,5,110,Yes,Yes,5,Yes,No,About 5 to 10 times,More than 5,12050
4,5,240,Yes,Yes,8,Yes,No,Less than 5 times,More than 5,39070
1,6,120,Yes,Yes,3,Yes,No,Less than 5 times,Less than 5,12000
4,7,200,No,No,7,Yes,No,More than 10 times,More than 5,18000
4,5,400,Yes,Yes,11,Yes,Yes,More than 10 times,More than 5,508
3,5,120,Yes,Yes,9,Yes,No,About 5 to 10 times,Less than 5,50300
3,5,120,No,No,4,Yes,No,Less than 5 times,None,4000
4,10,530,Yes,Yes,9,Yes,No,More than 10 times,More than 5,70600
3,5,200,Yes,Yes,7,Yes,No,About 5 to 10 times,More than 5,15700
3,5,120,Yes,Yes,7,Yes,No,More than 10 times,Less than 5,19200
6,11,400,Yes,Yes,11,Yes,No,More than 10 times,More than 5,48007
3,6,240,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,50004
3,5,120,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,30002
6,11,400,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,50033
2,4,120,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,16000
6,11,400,Yes,Yes,12,Yes,No,More than 10 times,More than 5,45100
5,5,300,Yes,Yes,9,Yes,No,Less than 5 times,More than 5,32020
4,9,300,Yes,Yes,9,Yes,No,More than 10 times,More than 5,31000
6,15,400,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,48000
4,5,120,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,27000
4,6,200,Yes,Yes,7,No,No,More than 10 times,More than 5,250000
4,5,240,Yes,Yes,8,Yes,Yes,More than 10 times,More than 5,27670
3,5,250,Yes,Yes,5,Yes,No,I do not have a washing machine,More than 5,26000
2,3,600,Yes,Yes,2,Yes,No,About 5 to 10 times,Less than 5,7000
5,9,120,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,40000
3,5,190,Yes,No,7,Yes,No,More than 10 times,More than 5,28140
7,13,120,No,Yes,8,Yes,No,About 5 to 10 times,More than 5,20000
3,6,120,No,No,4,Yes,Yes,Less than 5 times,Less than 5,3000
2,5,120,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,8200
3,4,120,Yes,Yes,6,Yes,No,More than 10 times,More than 5,20000
6,8,180,No,Yes,6,Yes,No,Less than 5 times,More than 5,12000
3,7,120,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,18060
4,8,400,No,No,5,Yes,No,About 5 to 10 times,More than 5,4408
2,4,160,Yes,No,4,Yes,No,I do not have a washing machine,More than 5,40070
3,5,150,Yes,No,4,Yes,No,More than 10 times,Less than 5,10078
5,8,250,Yes,Yes,8,Yes,Yes,More than 10 times,More than 5,280079
4,6,230,No,Yes,5,Yes,No,Less than 5 times,More than 5,60045
2,4,120,Yes,No,3,Yes,No,I do not have a washing machine,More than 5,80034
2,8,60,No,No,3,Yes,Yes,About 5 to 10 times,Less than 5,4004
5,6,200,No,Yes,7,Yes,No,More than 10 times,More than 5,8934
3,4,120,No,Yes,5,Yes,No,About 5 to 10 times,More than 5,18067
4,6,260,Yes,Yes,5,Yes,Yes,Less than 5 times,Less than 5,1501
3,5,700,Yes,Yes,6,Yes,No,About 5 to 10 times,None,28012
2,3,150,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,33678
3,5,150,Yes,Yes,5,Yes,No,I do not have a washing machine,More than 5,18071
7,15,120,Yes,Yes,14,Yes,No,About 5 to 10 times,More than 5,17022
4,5,180,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,18501
2,4,120,No,No,4,Yes,No,Less than 5 times,Less than 5,11002
2,4,200,Yes,Yes,4,No,No,More than 10 times,More than 5,52230
2,3,110,Yes,Yes,5,Yes,No,Less than 5 times,More than 5,9034
3,5,280,No,Yes,4,Yes,No,Less than 5 times,Less than 5,2034
2,3,110,No,No,2,No,No,I do not have a washing machine,Less than 5,900
3,8,240,Yes,Yes,7,Yes,No,Less than 5 times,More than 5,31000
3,6,80,No,Yes,3,No,No,Less than 5 times,Less than 5,15000
5,7,120,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,2200
3,3,60,Yes,No,4,No,No,Less than 5 times,More than 5,9000
3,5,240,Yes,Yes,11,No,No,Less than 5 times,More than 5,38000
6,7,240,Yes,Yes,8,Yes,No,Less than 5 times,Less than 5,28000
3,3,200,Yes,Yes,7,Yes,No,I do not have a washing machine,More than 5,38000
2,5,400,Yes,Yes,5,Yes,No,More than 10 times,More than 5,36700
3,4,180,No,No,8,Yes,No,Less than 5 times,More than 5,5003
3,5,200,Yes,Yes,7,Yes,No,Less than 5 times,Less than 5,13030
3,3,250,Yes,No,7,Yes,No,I do not have a washing machine,More than 5,20000
1,3,65,Yes,Yes,2,Yes,No,Less than 5 times,Less than 5,3726
2,4,70,Yes,Yes,4,Yes,No,More than 10 times,Less than 5,27450
3,7,214,Yes,Yes,7,Yes,No,Less than 5 times,More than 5,16540
2,6,100,No,Yes,4,No,No,About 5 to 10 times,More than 5,6005
4,6,999,Yes,Yes,9,Yes,No,Less than 5 times,More than 5,21230
3,6,1400,Yes,Yes,7,Yes,No,About 5 to 10 times,More than 5,65450
4,9,237.69,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,85050
2,6,60,No,Yes,2,Yes,No,Less than 5 times,Less than 5,84500
5,6,1000,Yes,No,6,Yes,No,About 5 to 10 times,More than 5,70550
3,5,120,Yes,Yes,5,Yes,No,About 5 to 10 times,More than 5,42040
5,12,300,Yes,Yes,7,Yes,No,About 5 to 10 times,More than 5,20000
3,4,240,Yes,Yes,7,Yes,No,More than 10 times,More than 5,40000
3,4,812,No,Yes,5,Yes,No,Less than 5 times,Less than 5,10000
3,5,120,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,12000
4,5,120,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,15000
5,7,400,No,Yes,7,No,No,About 5 to 10 times,Less than 5,22000
3,5,200,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,18000
